15436;8810;KQUE;TX;Bay City;Aleluya Broadcasting Network;3600;28.800833;-96.125556
15629;8810;KRBP;TX;Presidio;RADIO BILINGUE INC;;;
15684;8810;XHGIK;CO;;;;;
15696;8810;KREE;AZ;Pirtleville;RADIO BILINGUE INC;1500;31.34844;-109.48006
15726;8810;KRFI;MN;Redwood Falls;Minnesota Public Radio;360;44.54108;-95.18306
15889;8810;KRLP;MN;Windom;K-LOVE, Inc.;600;43.88411;-95.1825
15897;8810;KRLX;MN;Northfield;Carleton College;100;44.46078;-93.15603
15938;8810;KRNM;MP;Chalan Kanoa-Saipan;MARIANAS EDUCATIONAL MEDIA SERVICES, INC.;1800;15.15139;145.71972
16004;8810;KRQA;AR;Bentonville;K-LOVE, Inc.;1000;36.39369;-94.18158
16031;8810;KRRB;ID;Kuna;Pensacola Christian College, Inc.;45000;43.62069;-117.21069
16059;8810;KRSD;SD;Sioux Falls;Minnesota Public Radio;2000;43.52692;-96.73864
16094;8810;KRTM;CA;Banning;Penfold Communications, Inc;150;34.03778;-116.81419
16101;8810;KRTT;KS;Great Bend;Divine Mercy Radio, Inc.;900;38.362778;-98.763889
16108;8810;KRUA;AK;Anchorage;UNIVERSITY OF ALASKA;;;
16713;8810;KSRH;CA;San Rafael;San Rafael City Schools;;;
17013;8810;KTCV;WA;Kennewick;Kennewick School District No. 17;;;
17094;8810;KTFY;ID;Buhl;Idaho Conference of Seventh-day Adventists, Inc.;;42.72992;-114.41919
17095;8810;KTFZ;MT;Thompson Falls;The University of Montana;;;
17372;8810;KTQQ;NV;Elko;RADIO 74 INTERNATIONALE;230;40.70019;-115.90283
17460;8810;KTUA;OK;Coweta;K-LOVE, Inc.;100000;36.13203;-96.24
17557;8810;KTXT;TX;Lubbock;Texas Tech University;35000;33.58203;-101.89072
17670;8810;KUCC;WA;Clarkston;Upper Columbia Media Association;460;46.46292;-116.90792
17818;8810;KUHU;UT;Monticello;University of Utah;252;37.84025;-109.46178
18106;8810;KUSW;NM;Flora Vista;KUTE, Inc.;;36.67111;-108.23231
18248;8810;KUYI;AZ;Hotevilla;The Hopi Foundation;69000;35.80806;-110.27375
18304;8810;KVAM;WY;Flower Pot;Cedar Cove Broadcasting, Inc.;;;
18382;8810;KVDM;KS;Hays;Divine Mercy Radio, Inc.;2500;38.958056;-99.351944
18399;8810;KVED;TX;Vernon;Top O Texas Educational Broadcasting Foundation;9000;34.438889;-99.502500
18544;8810;KVJS;TX;Arroyo;Vision Hispana Incorporated, Internacional;4500;26.339722;-97.417778
18600;8810;KVLW;TX;Gatesville;K-LOVE, Inc.;16500;31.314722;-97.326667
18659;8810;KVOD;CO;Lakewood;Public Broadcasting of Colorado, Inc.;4400;39.73278;-105.23611
18762;8810;KVSC;MN;St. Cloud;St Cloud State University;16500;45.51661;-94.23136
